162.213.8.0/22,CA,CA-ON,Vaughan,
173.212.191.0/24,CA,CA-ON,Mississauga,
192.197.212.0/23,CA,CA-BC,Kelowna,
192.69.132.0/22,CA,CA-ON,Vaughan,
199.188.70.0/24,CA,CA-ON,Vaughan,
199.68.176.0/22,CA,CA-ON,Vaughan,
199.68.181.0/24,CA,CA-ON,Vaughan,
199.68.182.0/24,CA,CA-ON,Vaughan,
199.7.232.0/21,CA,CA-ON,Vaughan,
207.54.126.0/24,CA,CA-ON,Mississauga,
208.66.0.0/22,CA,CA-ON,Vaughan,
208.83.208.0/24,CA,CA-ON,Vaughan,
208.83.212.0/24,CA,CA-ON,Vaughan,
208.93.232.0/21,CA,CA-ON,Vaughan,
209.97.192.0/19,CA,CA-BC,Kelowna,
64.46.32.0/19,CA,CA-BC,Kelowna,
64.72.224.0/24,CA,CA-BC,Vancouver,
64.72.226.0/23,CA,CA-ON,Mississauga,
67.21.192.0/24,CA,CA-BC,Vancouver,
67.226.190.0/24,CA,CA-ON,Mississauga,
69.10.128.0/19,CA,CA-BC,Kelowna,
72.15.144.0/20,CA,CA-BC,Vancouver,
74.122.128.0/21,CA,CA-ON,Vaughan,
